Recording URL,Publicly Shared,Already Watched,Comments,Labels,Created,New / Returning,Hotjar User ID,Country,Action Count,Page Count,Duration (seconds),Device,Device Screen Size,Browser,Operating System,Referrer URL,Landing Page URL,Exit Page URL,Rage Clicks,U-Turns,Incoming Feedback,Net Promoter Score®,Events,Target
https://insights.hotjar.com/r?site=2751917&recording=52269079872,FALSE,TRUE,,,2024-05-09T13:21:18,Returning user,29d628f3,CA,294,33,3653,Desktop,1179 X 710,Safari,Mac,,https://wavehockey.playbookapi.com/control_panel/events/,https://wavehockey.playbookapi.com/control_panel/customer_card/371776/?selected_tab=registration_and_payments,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=51917938300,FALSE,TRUE,,,2024-05-04T23:47:09,New user,63b314fb,US,196,37,2042,Desktop,1318 X 646,Edge,Windows,https://mysoccerschool.playbookapi.com/console/login/?next=/control_panel/,https://mysoccerschool.playbookapi.com/control_panel/programs/program_clubs/,https://mysoccerschool.playbookapi.com/control_panel/events/,1,5,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=51764838474,FALSE,TRUE,,,2024-05-02T21:12:00,Returning user,6bc1a30b,US,241,37,2180,Desktop,1843 X 872,Chrome,Mac,,https://marchsl-qa.playbookapi.com/control_panel/customer_card/39467/,https://cacbasketball.playbookapi.com/control_panel/box_score/320857/,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53740063472,FALSE,FALSE,,,2024-05-28T16:18:12,Returning user,9806752f,US,151,22,886,Desktop,1440 X 779,Chrome,Mac,,https://newtownvolleyball.playbookapi.com/control_panel/programs/program_seasons/,https://newtownvolleyball.playbookapi.com/control_panel/programs/program_seasons/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53457480015,FALSE,FALSE,,,2024-05-24T19:08:27,Returning user,9c8b1a08,US,169,11,257,Desktop,1872 X 966,Edge,Windows,https://www.grassrootssoccermd.com/,https://grassrootssoccer.playbookapi.com/programs/register/,https://grassrootssoccer.playbookapi.com/programs/register/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53381398210,FALSE,FALSE,,,2024-05-23T20:30:50,Returning user,1596122d,US,124,20,1486,Desktop,1465 X 1019,Chrome,Mac,https://how2outworkuni.playbookapi.com/control_panel/programs/program_pass_types/,https://how2outworkuni.playbookapi.com/control_panel/programs/program_packages/,https://how2outworkuni.playbookapi.com/control_panel/league_card/24567/?selected_tab=settings,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53345268257,FALSE,TRUE,,,2024-05-23T11:34:32,Returning user,038eabf1,PH,208,31,1803,Desktop,1707 X 781,Chrome,Windows,https://hotvolleyballnyc.playbookapi.com/control_panel/programs/program_packages/?category=all&title=adults&has_registrations=all&has_sessions=all&has_spots=all&registration_open=all&is_active=true&results_per_page=10,https://hotvolleyballnyc.playbookapi.com/control_panel/programs/program_packages/?category=all&title=adults&has_registrations=all&has_sessions=all&has_spots=all&registration_open=all&is_active=true&results_per_page=10,https://hotvolleyballnyc.playbookapi.com/control_panel/programs/program_packages/?category=all&title=league+dev&has_registrations=all&has_sessions=all&has_spots=all&registration_open=all&is_active=true&results_per_page=10,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53294843086,FALSE,TRUE,,,2024-05-22T19:52:23,Returning user,62cf224c,US,243,21,768,Desktop,1649 X 819,Chrome,Windows,https://www.tcysoccer.org/,https://tuolumnesoccer.playbookapi.com/programs/more_info/season/21760/,https://tuolumnesoccer.playbookapi.com/user_dashboard/registrations/,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=51523442462,FALSE,FALSE,,,2024-04-29T20:00:47,New user,ae3ac79c,US,111,7,227,Desktop,1883 X 900,Chrome,Windows,https://www.hernandoyouthfootballassociation.com/,https://hernandoyouth.playbookapi.com/programs/calendar/,https://hernandoyouth.playbookapi.com/programs/classes/pre_registration/?wishlist=false&season=23062&season_type=free_agent,1,1,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53659798741,FALSE,FALSE,,,2024-05-27T15:15:09,New user,eb507bcf,US,77,7,398,Desktop,1536 X 791,Chrome,Windows,https://www.grassrootssoccermd.com/,https://grassrootssoccer.playbookapi.com/programs/register/,https://grassrootssoccer.playbookapi.com/programs/classes/waitlist_registration/?class_package=27932&type=wait,1,1,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53506868740,FALSE,FALSE,,,2024-05-25T13:33:29,New user,28f8d860,CA,63,10,704,Desktop,1536 X 703,Chrome,Windows,https://ampedsportslab.com/,https://ampedsports.playbookapi.com/programs/register/,https://ampedsports.playbookapi.com/programs/my_schedule/,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53321972157,FALSE,TRUE,,,2024-05-23T05:25:24,New user,b918cf10,US,59,6,429,Desktop,1570 X 901,Chrome,Mac,https://www.google.com/,https://www.nycbasketballleague.com/?keyword=basketball%20league%20cheap&matchtype=b&adgroupid=5350892231&campaign=%7Bcampaign%7D&utm_campaign=%7Butm_campaign%7D&utm_source=adwords&utm_term=basketball%20league%20cheap&utm_medium=ppc&hsa_mt=b&hsa_acc=2409067266&hsa_grp=5350892231&hsa_tgt=kwd-32032130471&hsa_net=adwords&hsa_ad=252079817969&hsa_src=g&hsa_kw=basketball%20league%20cheap&hsa_ver=3&hsa_cam=62716631&gad_source=1&gclid=CjwKCAjwr7ayBhAPEiwA6EIGxGZ0QbJyUgcFXLxlGiraCNKm8Rn1RZm3AZA1D90IkVVgvlH5BQDSaBoCjTsQAvD_BwE,https://www.nycbasketballleague.com/programs/register/,1,1,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52886551895,FALSE,FALSE,,,2024-05-17T12:36:17,Returning user,41605464,CA,111,6,398,Desktop,2042 X 1099,Chrome,Mac,,https://pdmbasketball.playbookapi.com/account/signin/?next=/programs/payment/%3Fselected_invoice%3D407393,https://pdmbasketball.playbookapi.com/programs/payment/?selected_invoice=407393,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52350098636,FALSE,TRUE,,,2024-05-10T14:04:39,New user,a9c0fd2b,PK,296,7,996,Desktop,1920 X 953,Chrome,Windows,https://www.google.com/,https://www.nycbasketballleague.com/programs/,https://www.nycbasketballleague.com/programs/,13,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52188608760,FALSE,TRUE,,,2024-05-08T13:02:56,New user,7e10f8d6,CA,88,8,297,Desktop,1920 X 945,Chrome,Windows,https://ampedsportslab.com/,https://ampedsports.playbookapi.com/programs/rentals/,https://ampedsports.playbookapi.com/programs/order_completed/?&invoice_pk=472231,2,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53189035598,FALSE,TRUE,,,2024-05-21T13:52:43,New user,b3f0e7d6,US,45,3,234,Desktop,1920 X 1031,Chrome,Windows,https://www.hotvolleyballnyc.com/,https://hotvolleyballnyc.playbookapi.com/programs/register/NYC/,https://hotvolleyballnyc.playbookapi.com/programs/register/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52772484406,FALSE,TRUE,,,2024-05-16T02:35:51,Returning user,bdebdda0,US,58,6,171,Desktop,1392 X 838,Edge,Windows,,https://floridagulfbaseball.playbookapi.com/control_panel/programs/program_packages/,https://floridagulfbaseball.playbookapi.com/control_panel/programs/program_packages/,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52762190325,FALSE,TRUE,,,2024-05-15T22:37:42,New user,857ee649,CA,108,7,431,Desktop,1324 X 779,Safari,Mac,,https://phoenixvolleyball.playbookapi.com/programs/register/,https://phoenixvolleyball.playbookapi.com/programs/order_completed/?&invoice_pk=477067,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52623169585,FALSE,TRUE,,,2024-05-14T07:39:55,Returning user,a9c0fd2b,PK,117,2,818,Desktop,1920 X 953,Chrome,Windows,https://www.google.com/,https://www.nycbasketballleague.com/,https://www.nycbasketballleague.com/,6,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52521590085,FALSE,TRUE,,,2024-05-13T00:43:12,Returning user,1b910a9e,US,71,2,893,Desktop,1324 X 765,Safari,Mac,https://www.hotvolleyballnyc.com/,https://hotvolleyballnyc.playbookapi.com/programs/register/NYC/,https://hotvolleyballnyc.playbookapi.com/programs/register/summer_camps/,1,0,N/A,N/A,,Yes
